student_id,AT1,AT2,AT3
1,3.2,4.6,6.0
2,3.4,1.9,1.0
3,3.2,5.1,5.9
4,2.2,4.1,5.4
5,3.2,3.3,5.3
6,4.1,5.6,6.0
7,4.2,4.3,5.8
8,2.9,3.6,5.4
9,3.8,4.1,6.0
10,2.0,2.2,5.6
11,1.5,4.6,6.3
12,5.0,3.3,6.4
13,3.1,4.4,4.8
14,2.1,3.3,5.7
15,4.4,2.4,6.0
16,5.0,4.4,6.6
17,3.5,3.9,5.4
18,3.7,1.0,1.0
19,2.0,4.8,5.8
20,3.4,3.9,6.2
21,2.7,3.3,5.0
22,2.7,3.4,5.7
23,3.1,4.0,4.6
24,3.3,4.4,4.3
25,4.0,4.7,6.0
26,2.9,2.1,3.4
27,4.4,4.5,5.4
28,4.0,3.5,6.5
29,1.2,1.0,1.0
30,3.0,4.5,5.1
31,5.6,4.4,3.6
32,4.1,5.9,6.2
33,4.4,3.4,5.7
34,4.4,4.1,1.0
35,4.7,3.5,5.6
36,2.6,3.8,4.7
37,3.5,4.2,6.2
38,4.4,4.6,5.5
39,5.2,3.6,5.4
40,4.7,4.5,6.0
41,2.7,3.4,5.9
42,4.0,3.8,4.6
43,3.8,5.4,6.4
44,4.6,2.4,6.1
45,5.1,5.4,5.9
46,4.1,4.2,5.1
47,2.6,2.5,4.6
48,2.5,4.6,6.0
49,4.0,3.3,4.6
50,2.6,4.3,5.4
51,1.9,3.9,5.3
52,5.6,5.6,6.6
53,1.4,2.0,4.6
54,3.4,4.7,6.3
55,1.7,1.0,1.5
56,3.0,4.8,6.0
57,3.8,5.3,6.3
58,3.1,3.4,5.5
59,2.4,5.5,5.9
60,5.1,5.1,5.5
61,1.4,2.2,3.1
62,3.9,4.5,6.2
63,3.4,2.2,4.6
