student_id,AT1,AT2,AT3
1,3.2,3.4,5.5
2,3.8,6.2,5.9
3,5.7,4.9,6.7
4,3.5,4.0,6.2
5,3.8,2.3,5.8
6,4.4,3.7,5.0
7,3.8,3.7,5.5
8,4.8,5.3,4.3
9,4.1,5.1,5.9
10,2.8,2.8,6.5
11,3.4,4.4,6.5
12,3.3,4.1,6.2
13,2.9,1.0,3.4
14,4.3,4.0,4.8
15,4.8,5.1,5.2
16,5.0,4.4,5.3
17,5.2,3.5,6.9
18,4.9,5.8,6.8
19,4.5,4.6,6.3
20,3.4,2.5,5.7
21,4.5,6.0,6.1
22,4.2,4.4,6.7
23,3.8,3.6,5.9
24,5.5,3.4,5.8
25,4.9,5.8,6.9
26,2.6,2.3,6.2
27,4.6,4.6,6.9
28,5.9,5.3,5.8
29,4.4,3.8,6.0
30,4.0,5.3,5.6
31,4.4,3.5,5.9
32,4.2,6.4,5.9
33,4.2,5.3,6.9
34,3.2,2.9,6.0
35,3.5,4.6,6.6
36,4.9,4.9,4.5
37,3.3,2.5,5.9
38,4.3,3.2,5.4
39,6.0,6.3,6.3
40,4.1,4.6,5.6
41,3.5,1.6,4.5
42,3.9,3.7,5.9
43,4.8,5.5,5.9
44,5.3,3.0,6.0
45,4.6,5.7,6.2
46,6.3,3.6,5.9
47,3.5,2.8,5.6
48,3.1,1.9,5.9
49,4.8,4.1,5.2
50,4.8,2.2,6.0
51,2.7,2.2,5.5
52,4.2,3.6,4.2
53,3.1,3.7,4.3
54,5.1,3.4,5.3
55,5.3,3.7,5.6
56,6.5,6.7,6.9
