C12,C13,LO12_1,LO12_2,LO13_1,AT1,AT2,AT3
3.9,6.0,3.2,4.6,6.0,3.2,4.6,6.0
2.65,1.0,3.4,1.9,1.0,3.4,1.9,1.0
4.15,5.9,3.2,5.1,5.9,3.2,5.1,5.9
3.15,5.4,2.2,4.1,5.4,2.2,4.1,5.4
3.25,5.3,3.2,3.3,5.3,3.2,3.3,5.3
4.85,6.0,4.1,5.6,6.0,4.1,5.6,6.0
4.25,5.8,4.2,4.3,5.8,4.2,4.3,5.8
3.25,5.4,2.9,3.6,5.4,2.9,3.6,5.4
3.95,6.0,3.8,4.1,6.0,3.8,4.1,6.0
2.1,5.6,2.0,2.2,5.6,2.0,2.2,5.6
3.05,6.3,1.5,4.6,6.3,1.5,4.6,6.3
4.15,6.4,5.0,3.3,6.4,5.0,3.3,6.4
3.75,4.8,3.1,4.4,4.8,3.1,4.4,4.8
2.7,5.7,2.1,3.3,5.7,2.1,3.3,5.7
3.4,6.0,4.4,2.4,6.0,4.4,2.4,6.0
4.7,6.6,5.0,4.4,6.6,5.0,4.4,6.6
3.7,5.4,3.5,3.9,5.4,3.5,3.9,5.4
2.35,1.0,3.7,1.0,1.0,3.7,1.0,1.0
3.4,5.8,2.0,4.8,5.8,2.0,4.8,5.8
3.65,6.2,3.4,3.9,6.2,3.4,3.9,6.2
3.0,5.0,2.7,3.3,5.0,2.7,3.3,5.0
3.05,5.7,2.7,3.4,5.7,2.7,3.4,5.7
3.55,4.6,3.1,4.0,4.6,3.1,4.0,4.6
3.85,4.3,3.3,4.4,4.3,3.3,4.4,4.3
4.35,6.0,4.0,4.7,6.0,4.0,4.7,6.0
2.5,3.4,2.9,2.1,3.4,2.9,2.1,3.4
4.45,5.4,4.4,4.5,5.4,4.4,4.5,5.4
3.75,6.5,4.0,3.5,6.5,4.0,3.5,6.5
1.1,1.0,1.2,1.0,1.0,1.2,1.0,1.0
3.75,5.1,3.0,4.5,5.1,3.0,4.5,5.1
5.0,3.6,5.6,4.4,3.6,5.6,4.4,3.6
5.0,6.2,4.1,5.9,6.2,4.1,5.9,6.2
3.9,5.7,4.4,3.4,5.7,4.4,3.4,5.7
4.25,1.0,4.4,4.1,1.0,4.4,4.1,1.0
4.1,5.6,4.7,3.5,5.6,4.7,3.5,5.6
3.2,4.7,2.6,3.8,4.7,2.6,3.8,4.7
3.85,6.2,3.5,4.2,6.2,3.5,4.2,6.2
4.5,5.5,4.4,4.6,5.5,4.4,4.6,5.5
4.4,5.4,5.2,3.6,5.4,5.2,3.6,5.4
4.6,6.0,4.7,4.5,6.0,4.7,4.5,6.0
3.05,5.9,2.7,3.4,5.9,2.7,3.4,5.9
3.9,4.6,4.0,3.8,4.6,4.0,3.8,4.6
4.6,6.4,3.8,5.4,6.4,3.8,5.4,6.4
3.5,6.1,4.6,2.4,6.1,4.6,2.4,6.1
5.25,5.9,5.1,5.4,5.9,5.1,5.4,5.9
4.15,5.1,4.1,4.2,5.1,4.1,4.2,5.1
2.55,4.6,2.6,2.5,4.6,2.6,2.5,4.6
3.55,6.0,2.5,4.6,6.0,2.5,4.6,6.0
3.65,4.6,4.0,3.3,4.6,4.0,3.3,4.6
3.45,5.4,2.6,4.3,5.4,2.6,4.3,5.4
2.9,5.3,1.9,3.9,5.3,1.9,3.9,5.3
5.6,6.6,5.6,5.6,6.6,5.6,5.6,6.6
1.7,4.6,1.4,2.0,4.6,1.4,2.0,4.6
4.05,6.3,3.4,4.7,6.3,3.4,4.7,6.3
1.35,1.5,1.7,1.0,1.5,1.7,1.0,1.5
3.9,6.0,3.0,4.8,6.0,3.0,4.8,6.0
4.55,6.3,3.8,5.3,6.3,3.8,5.3,6.3
3.25,5.5,3.1,3.4,5.5,3.1,3.4,5.5
3.95,5.9,2.4,5.5,5.9,2.4,5.5,5.9
5.1,5.5,5.1,5.1,5.5,5.1,5.1,5.5
1.8,3.1,1.4,2.2,3.1,1.4,2.2,3.1
4.2,6.2,3.9,4.5,6.2,3.9,4.5,6.2
2.8,4.6,3.4,2.2,4.6,3.4,2.2,4.6
