AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10,student_id
3.83,3.01,5.5,4.46,3.05,4.24,6.02,4.73,2.42,6.47,1
2.55,2.96,5.25,5.12,2.58,4.48,6,4.19,2.09,5.77,2
3.5,3.39,5.3,4.88,3.24,3.07,5.97,2.78,2.23,4.33,3
0.98,2.86,6.03,4.45,2.24,5.74,6.04,5.74,2.68,6.69,4
3.46,2.65,5.98,4.28,2.48,6.21,5.95,5.13,3.15,6.23,5
4.82,2.65,3.24,2.94,2.73,6.99,6,6.23,2.15,6.9,6
3.9,3.22,3.27,4.43,3.13,5.84,5.94,3.68,2.79,6.2,7
3.28,2.81,4.82,3.98,3.26,2.9,6,4.24,2.79,4.13,8
4.3,3.46,4.79,4.06,3.18,3.74,6.02,3.69,3.37,3.02,9
3.88,2.53,5.08,3.5,2.9,7.7,6.02,2.77,3.21,4.41,10
4.69,2.94,4.88,3.72,2.81,3.76,5.99,2.7,3.39,3.22,11
5.99,2.51,4.96,3.68,1.89,5.08,6.01,3.43,3.24,4.84,12
4.6,3.38,4.78,5.2,3.52,3.87,6.01,4.32,2.41,4.43,13
4.15,2.83,6.03,4.34,2.04,4.61,5.96,4.29,3.43,4.24,14
5.33,3.64,4.81,5.54,2.69,2.53,6.12,4.01,2.87,5.07,15
3.65,2.4,5.07,6.09,3.73,5.53,6.05,4.52,3.08,4.61,16
4.21,3.11,6.49,2.76,2.92,4.58,6,5.64,3.52,7.06,17
4.87,2.58,5.57,4.61,2.95,4.83,6.01,3.64,3.06,5.51,18
3.74,3.23,5.27,1.23,3.47,6.02,6.05,3.25,3.12,6.55,19
2.61,2.57,3.91,4.16,3.25,6.87,6.09,2.83,2.77,5.43,20
5.66,3.44,5.56,5.35,3.03,5.09,6.08,3.8,2.44,5.79,21
3.29,2.89,5.94,4.15,3.24,7.33,6.03,4.99,2.92,5.86,22
3.83,2.73,4.79,5,3.1,4.76,6.08,3.8,2.68,5.2,23
3.38,2.34,6.9,3.42,3.6,3.83,5.99,5.18,3.22,4.87,24
