C1,C2,C3,C4,C5,C6,C7,LO1,LO2,LO3,LO4,LO5,LO6,LO7,LO8,LO9,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10
6.55,6.48,6.83,7.0,6.92,7.56,6.32,6.48,7.47,5.87,7.37,8.46,4.87,6.32,9.21,5.53,5.49,7.47,4.31,6.64,9.21,5.53,8.46,8.62,3.93,6.32
6.29,6.08,7.14,6.57,6.57,7.52,5.28,6.08,7.59,6.46,6.63,8.47,4.68,5.28,8.39,4.86,4.57,7.59,3.58,8.77,8.39,4.86,8.47,8.31,3.77,5.28
6.36,6.23,6.89,7.34,6.97,7.7,7.22,6.23,7.65,5.75,7.49,8.57,5.07,7.22,9.02,5.97,4.81,7.65,3.6,6.96,9.02,5.97,8.57,8.17,4.3,7.22
7.1,7.12,7.04,7.38,6.96,7.43,7.74,7.12,7.52,6.32,7.23,8.5,4.22,7.74,7.92,6.54,6.72,7.52,3.96,8.09,7.92,6.54,8.5,4.94,4.04,7.74
7.49,7.52,7.36,6.92,6.26,7.56,6.74,7.52,8.33,5.89,6.41,8.56,4.56,6.74,8.66,4.16,6.71,8.33,3.01,7.56,8.66,4.16,8.56,7.21,3.9,6.74
6.95,6.99,6.77,6.99,6.03,7.49,7.28,6.99,8.02,4.9,6.52,8.51,4.41,7.28,7.72,5.32,5.96,8.02,2.08,6.15,7.72,5.32,8.51,10.01,3.01,7.28
7.78,7.84,7.54,7.52,7.7,7.57,7.26,7.84,8.21,6.53,8.2,8.44,4.97,7.26,8.98,7.41,7.47,8.21,5.12,7.1,8.98,7.41,8.44,7.79,4.27,7.26
7.53,7.83,6.35,6.77,6.11,7.53,6.4,7.83,7.44,4.72,6.71,8.48,4.7,6.4,7.99,5.42,8.22,7.44,2.28,5.8,7.99,5.42,8.48,8.81,3.67,6.4
6.82,6.82,6.86,7.3,6.89,7.46,7.5,6.82,7.36,6.12,7.22,8.51,4.29,7.5,8.18,6.26,6.27,7.36,4.51,7.11,8.18,6.26,8.51,8.63,3.21,7.5
6.74,6.83,6.37,6.84,6.44,7.57,6.28,6.83,7.04,5.36,6.9,8.55,4.64,6.28,9.09,4.71,6.62,7.04,2.47,7.42,9.09,4.71,8.55,9.66,3.38,6.28
6.97,7.07,6.61,6.43,6.61,7.39,4.98,7.07,7.17,5.78,6.97,8.59,3.79,4.98,8.09,5.85,6.96,7.17,3.29,7.57,8.09,5.85,8.59,6.92,3.01,4.98
6.71,6.64,6.97,7.02,6.28,7.44,7.2,6.64,7.56,6.08,6.37,8.48,4.31,7.2,9.03,3.71,5.72,7.56,3.81,7.6,9.03,3.71,8.48,8.81,3.18,7.2
6.23,6.17,6.48,7.82,7.15,7.74,8.59,6.17,6.89,5.87,7.71,8.51,5.44,8.59,8.64,6.77,5.44,6.89,3.67,7.55,8.64,6.77,8.51,9.43,4.44,8.59
6.98,7.0,6.9,5.73,5.26,7.34,4.07,7.0,7.87,5.44,5.18,8.53,3.76,4.07,7.64,2.71,6.12,7.87,3.08,6.59,7.64,2.71,8.53,7.38,2.86,4.07
7.38,7.48,7.0,6.07,5.77,7.36,4.66,7.48,8.21,5.19,6.02,8.48,3.98,4.66,8.82,3.21,6.75,8.21,1.96,6.91,8.82,3.21,8.48,7.38,3.13,4.66
6.22,6.13,6.56,6.44,5.68,7.66,5.56,6.13,7.12,5.71,5.66,8.55,4.99,5.56,8.91,2.41,5.14,7.12,2.52,8.2,8.91,2.41,8.55,9.25,3.93,5.56
6.83,6.79,7.0,6.8,7.06,7.46,5.67,6.79,7.81,5.79,7.61,8.47,4.42,5.67,8.4,6.81,5.77,7.81,3.01,7.56,8.4,6.81,8.47,7.04,3.77,5.67
7.57,7.75,6.83,7.27,6.98,7.5,7.24,7.75,7.44,5.92,7.44,8.46,4.62,7.24,8.63,6.25,8.06,7.44,4.03,7.04,8.63,6.25,8.46,8.7,3.6,7.24
6.38,6.37,6.44,7.26,6.7,7.49,7.5,6.37,6.98,5.64,7.15,8.51,4.44,7.5,7.77,6.53,5.75,6.98,3.71,6.9,7.77,6.53,8.51,6.27,3.98,7.5
7.8,7.89,7.46,6.97,7.02,7.49,6.23,7.89,8.41,6.05,7.44,8.52,4.4,6.23,7.8,7.08,7.36,8.41,4.23,6.68,7.8,7.08,8.52,7.55,3.61,6.23
7.02,6.98,7.19,6.42,4.85,7.48,6.58,6.98,8.15,5.75,4.47,8.5,4.41,6.58,8.34,0.59,5.8,8.15,4.11,6.19,8.34,0.59,8.5,8.22,3.46,6.58
7.4,7.51,6.98,7.25,7.59,7.52,6.55,7.51,7.12,6.76,7.95,8.5,4.58,6.55,8.71,7.18,7.89,7.12,4.3,9.05,8.71,7.18,8.5,6.37,4.13,6.55
